Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
207.874034,0.000000,15.034811,0.000000,0.140250,0.140250,0.052646,0.000000,0.000000,0.000000,0.000000,0.021572,0.000000,-0.005162,0.000000,-0.003971,0.000000,-0.000013,0.000000,-0.122173
212.735552,0.000000,14.883705,0.000000,0.140691,0.140691,0.051577,0.000000,0.000000,0.000000,0.000000,0.021572,0.000000,-0.005499,0.000000,-0.004230,0.000000,-0.000013,0.000000,-0.122173
217.551328,0.000000,14.967030,0.000000,0.141142,0.141142,0.052139,0.000000,0.000000,0.000000,0.000000,0.021572,0.000000,-0.005854,0.000000,-0.004503,0.000000,-0.000014,0.000000,-0.122173
222.399632,0.000000,15.159269,0.000000,0.141603,0.141603,0.053469,0.000000,0.000000,0.000000,0.000000,0.028215,0.000000,-0.006226,0.000000,-0.004789,0.000000,-0.000015,0.000000,-0.122173
227.251270,0.000000,14.893303,0.000000,0.142074,0.142074,0.051592,0.000000,0.000000,0.000000,0.000000,0.028215,0.000000,-0.006615,0.000000,-0.005089,0.000000,-0.000015,0.000000,-0.122173
232.077590,0.000000,15.085342,0.000000,0.142555,0.142555,0.052912,0.000000,0.000000,0.000000,0.000000,0.028215,0.000000,-0.007024,0.000000,-0.005403,0.000000,-0.000016,0.000000,-0.122173
236.933809,0.000000,14.931670,0.000000,0.143047,0.143047,0.051820,0.000000,0.000000,0.000000,0.000000,0.028215,0.000000,-0.007453,0.000000,-0.005733,0.000000,-0.000017,0.000000,-0.122173
241.769344,0.000000,15.006571,0.000000,0.143548,0.143548,0.052322,0.000000,0.000000,0.000000,0.000000,0.028215,0.000000,-0.007901,0.000000,-0.006078,0.000000,-0.000018,0.000000,-0.122173
246.600014,0.000000,14.854889,0.000000,0.144060,0.144060,0.051250,0.000000,0.000000,0.000000,0.000000,0.036418,0.000000,-0.008371,0.000000,-0.006439,0.000000,-0.000018,0.000000,-0.122173
251.440215,0.000000,14.927064,0.000000,0.144582,0.144582,0.051728,0.000000,0.000000,0.000000,0.000000,0.036418,0.000000,-0.008863,0.000000,-0.006818,0.000000,-0.000019,0.000000,-0.122173
256.276574,0.000000,15.110306,0.000000,0.145114,0.145114,0.052985,0.000000,0.000000,0.000000,0.000000,0.036418,0.000000,-0.009378,0.000000,-0.007213,0.000000,-0.000020,0.000000,-0.122173
261.085054,0.000000,14.847439,0.000000,0.145656,0.145656,0.051136,0.000000,0.000000,0.000000,0.000000,0.036418,0.000000,-0.009916,0.000000,-0.007628,0.000000,-0.000021,0.000000,-0.122173
265.923000,0.000000,15.027679,0.000000,0.146208,0.146208,0.052362,0.000000,0.000000,0.000000,0.000000,0.036418,0.000000,-0.010479,0.000000,-0.008060,0.000000,-0.000022,0.000000,-0.122173
270.755862,0.000000,14.872807,0.000000,0.146770,0.146770,0.051266,0.000000,0.000000,0.000000,0.000000,0.046495,0.000000,-0.011067,0.000000,-0.008513,0.000000,-0.000023,0.000000,-0.122173
275.566968,0.000000,14.942244,0.000000,0.147343,0.147343,0.051722,0.000000,0.000000,0.000000,0.000000,0.046495,0.000000,-0.011682,0.000000,-0.008986,0.000000,-0.000024,0.000000,-0.122173
280.400443,0.000000,15.118094,0.000000,0.147925,0.147925,0.052922,0.000000,0.000000,0.000000,0.000000,0.046495,0.000000,-0.012324,0.000000,-0.009480,0.000000,-0.000025,0.000000,-0.122173
285.203216,0.000000,14.854658,0.000000,0.148518,0.148518,0.051069,0.000000,0.000000,0.000000,0.000000,0.046495,0.000000,-0.012995,0.000000,-0.009996,0.000000,-0.000026,0.000000,-0.122173
290.031914,0.000000,15.028216,0.000000,0.149120,0.149120,0.052243,0.000000,0.000000,0.000000,0.000000,0.046495,0.000000,-0.013696,0.000000,-0.010535,0.000000,-0.000028,0.000000,-0.122173
294.852789,0.000000,14.871974,0.000000,0.149733,0.149733,0.051137,0.000000,0.000000,0.000000,0.000000,0.058825,0.000000,-0.014427,0.000000,-0.011098,0.000000,-0.000029,0.000000,-0.122173
299.649630,0.000000,14.936920,0.000000,0.150356,0.150356,0.051557,0.000000,0.000000,0.000000,0.000000,0.058825,0.000000,-0.015190,0.000000,-0.011685,0.000000,-0.000030,0.000000,-0.122173
304.465981,0.000000,15.106910,0.000000,0.150989,0.150989,0.052709,0.000000,0.000000,0.000000,0.000000,0.058825,0.000000,-0.015987,0.000000,-0.012297,0.000000,-0.000031,0.000000,-0.122173
